title,author,publisher,year_published,ISBN,category,description,image
Gajah Mada: Hamukti Palapa,Langit Kresna Hariadi,Tiga Serangkai,2006,9789793303161 (ISBN10: 9793303166),Novel,"""Untuk Mewujudkan keinginanku atas Majapahit yang besar."" ucap Gajah Mada dengan suara amat lantang. ""Untuk mewujudkan mimpi kita semua, aku bersumpah akan menjauhi hamukti wiwaha sebelum cita - citaku dan cita - cita kita bersama itu terwujud. Aku tidak akan bersenang - senang dahulu. Aku akan tetap berprihatin dalam puasa tanpa ujung semata - mata demi kebesaran Majapahit. Aku bersumpah untuk tidak beristirahat. Lamun huwus kalah Nusantara ingsun amukti palapa, lamun kalah ring Gurun, ring Seram, Tanjugpura, ring Haru, ring Pahang, Dompo, ring Bali, Sunda, Palembang, Tumasek, samana ingsun amukti palapa.""

Senyap pendapa Bale Manguntur mendengar sumpah yang disaksikan matahari yang panas menggila. Semua orang masih terpesona pada jejak sumpah mengerikan yang diucapkan Gajah Mada. Sumpah itu memang layak disebut mengerikan. Entah dengan cara bagaimana Gajah Mada bisa menanggungnya. Sumpah itu terlampau mengerikan bagi sahabat Gajah Mada karena betapa keras kerja yang harus dilakukan untuk mewujudkannya.

""Novel sejarah ini disajikan dengan sangat menarik, tidak hanya terpaku pada biografi Gajah Mada tetapi secara komprehensif juga menggambarkan situasi yang berkembang pada zaman Majapahit.""
 -  A. Adaby Darban. Ketua Jurusan Ilmu Sejarah UGM

***

Sejarah kebesaran Majapahit pada dasarnya identik dengan sepak terjang Mahapatih Gajah Mada, yang ia mulai dari sejak dikumandangkannya Sumpah Hamukti Palapa.

Dari sumpah yang ketika dikumandangkan dilecehkan oleh beberapa pejabat Majapahit, Gajah Mada bekerja keras membangun kekuatan prajurit, terutama armada angkatan laut. Negara Majapahit pun kemudian berubah menjadi negara yang besar dan berwibawa.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1476002409i/1439771.jpg
Negara Kelima,E.S. Ito,Serambi Ilmu Semesta,2005,9789791600958 (ISBN10: 9791600953),Sastra,"SEBUAH PEMBUNUHAN BERANTAI
SEBUAH konspirasi GILA TERBENTANG
SEBUAH PERTANYAAN BENUA ATLANTIS TERJAWAB

Inspektur Timur Mangkuto tidak punya pilihan kecuali melarikan diri atas tuduhan pembunuhan yang menimpa karibnya. Ia tak berkutik. Berdasarkan sidik jari dan saksi, dialah pembunuhnya. Karibnya, Inspektur Rudi, kala itu tengah menyidik pembunuhan berantai tiga orang gadis yang diduga korban kelompok radikal bernama KePaRad. Pada bagian tubuh mayat Inspektur Rudi dan salah satu gadis terdapat goresan gambar piramid. Tak pelak, selain dituduh sebagai pelaku pembunuhan berantai, Inspektur Timur Mangkuto juga dianggap bagian kelompok KePaRad.

Dalam pelariannya bersama Genta, ia bertekad membongkar konspirasi dalam lembaga kepolisian tempatnya bekerja. Ia kemudian bertemu dengan bekas pacar Inspektur Rudi, seorang sejarawan, Eva Rahmasari Duani, dan ayahnya, Profesor Duani Abdullah. Bersama keduanya, Inspektur Timur Mangkuto berupaya memecahkan teka - teki yang didapat dari tahanan anggota KePaRad. Teka - teki berdirinya Nusantara yang berkait dengan masa Atlantis, Sriwijaya, Majapahit, dan Pemerintahan Darurat Republik Indonesia 1948. Teka - teki yang berkait dengan motif pembunuhan berantai, konspirasi di lembaga kepolisian yang melibatkan Detasemen Khusus Antiteror, ambisi kelompok KePaRad dengan pembentukan Negara Kelima.

Namun, Genta, teman pelarian Inspektur Timur Mangkuto, ternyata anggota KePaRad yang disusupkan ...",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1212742135i/1397076.jpg
Tarian Bumi,Oka Rusmini,Gramedia Pustaka Utama,2000,9789792228779 (ISBN10: 9792228772),Sastra,"Di tengah - tengah megahnya Bali, terselip berbagai bentuk ketidakadilan yang dialami perempuan Bali seperti masalah kasta. Perempuan berkasta Brahmana (seperti tokoh Telaga di novel ini) tidak boleh bersuami dari kasta lebih rendah, harus berbicara dengan bahasa berbeda dan memandang semua segi kehidupan dari perspektif lebih tinggi. Konflik dimulai ketika Telaga jatuh cinta pada pria sudra. Telaga terjepit di antara cinta dan adat yang mesti dijunjung tinggi. Memilih salah satunya sama saja dengan mengorbankan separuh hidupnya. Dengan setting budaya Bali yang kental, novel ini menunjukkan posisi sebenarnya perempuan Bali di dalam masyarakatnya.

Rather than contesting established stereotypes, another recent text creates its own mythic quality through evocation of the on going, timeless quality of female experience. Tarian Bumi (Dance of the Earth) by Oka Rusmini focusses intensely on the interwoven stories of four generation of women living within the thight spatial and psychological boundaries of the walled family compound of village Bali.
Barbara Hatley, Literature,
""Mythology and Regime Change""

Tarian Bumi menjadi fenomena sekaligus kontroversi. Novel ini dengan sangat terbuka menghantam keadaan yang melingkupi kehidupan perempuan di kalangan bangsawan Bali yang masih sangat feodal. Dalam konteks adat istiadat Bali, Tarian Bumi dipandang sebagai sebuah pemberontakan kepada adat.
Tempo, 9 Mei 2004

Jika novelis Inggris, Graham Greene, merasa telah menemukan India yang sebenarnya justru dalam novel - novel dan cerita - cerita pendek yang ditulis R.K. Narayan, maka tak berlebihan jika kita pun merasa telah menemukan Bali yang sebenarnya melalui novel ini.
Horison, Juli 2001

Bagi pembaca luar Bali, novel Oka Rusmini bukan saja indah dinikmati sebagai sastra melainkan pula mencerahkan banyak segi pemahaman lebih esensial dan kesalehan spiritual manusia budaya Bali. Kehadiran Oka Rusmini benar - benar fenomenal bagi karakter local genius Sastra Modern Indonesia mutakhir.
Dami N Toda, Matabaca, vol. 2/No. 1/ September 2003",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1416983589i/1667447.jpg
Ular Keempat,Gus tf Sakai,KOMPAS Penerbit Buku Kompas,2005,9797092240,Sastra,"Betulkah orang - orang kampungku beribadah bukan karena Allah, melainkan karena ibadah itu telah diwariskan turun - temurun? dan betul pulakah apa yang dikatakannya, bahwa aku pergi haji ke Makkah tak lebih hanya karena kebanggaan?

Novel yang menceritakan tentang pergulatan seseorang ketika menjalankan ibadah haji ini mencoba menjawab pertanyaan - pertanyaan nakal sang pengarang sebagaimana kutipan diatas. Pergulatan itu muncul karena masa lalunya yang kelabu. Disisi lain, perjalanan ibadah tersebut dibayang - bayangi oleh kekuasaan yang ingin menghentikannya. Perjalan dan pergulatan itu ternyata memunculkan kesadaran baru akan hidup : terdapat setan yang paling berbahaya didunia ini, yakni ular keempat.

...mengangkat fakta sejarah mengenai kisruh perjalanan haji tahun 1970 sebagai latar cerita. Secara konvensional, urutan peristiwa disusun kronologis. Di antara itu, pengarang memanfaatkan tokoh utama untuk memasukkan alam pikiran bawah sadar berjalin kalidan dengan mitos, halusinasi, dan kisah - kisah para aulia.
...struktur alur konvensional yang berangkat dari fakta sejarah menjadi alat semacam alat pembuka untuk masuk ke peristiwa surealis sebagai bagian dari kegelisahan si tokoh. Kenangan masa lalu, peristiwa masa kini, dan bayangan masa depan, seperti dibangun dalam struktur konvensional yang fleksibel yang dapat ditarik kesana kemari...

( Dewan Juri Sayembara Menulis Novel DKJ 2003: Prof.Dr. Sapardi Djoko Damono, Prof. Dr. Budi Darma MA, Maman S Mahayana M.Hum. )",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1200105453i/2559175.jpg
Bumi,Tere Liye,Gramedia Pustaka Utama,2014,9786020301129 (ISBN10: 6020301125),Fantasi,"Namaku Raib, usiaku 15 tahun, kelas sepuluh. Aku anak perempuan seperti kalian, adik - adik kalian, tetangga kalian. Aku punya dua kucing, namanya si Putih dan si Hitam. Mama dan papaku menyenangkan. Guru - guru di sekolahku seru. Teman - temanku baik dan kompak.

Aku sama seperti remaja kebanyakan, kecuali satu hal. Sesuatu yang kusimpan sendiri sejak kecil. Sesuatu yang menakjubkan.

Namaku, Raib. Dan aku bisa menghilang.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383884931i/18759843.jpg
Amba,Laksmi Pamuntjak,Gramedia Pustaka Utama,2012,9789792288797 (ISBN10: 9792288791),Fiksi Sejarah,"Dalam epik ini, kisah Amba dan Bhisma dalam Mahabharata bertaut (dan bertabrakan) dengan kisah hidup dua orang Indonesia dengan latar kekerasan tahun 1965.

Amba anak sulung seorang guru di Kadipura, Jawa Tengah. Ia meninggalkan kota kecilnya, belajar sastra Inggris di UGM dan bertunangan dengan Salwa Munir, seorang dosen ilmu pendidikan yang mencintainya. Pada suatu hari di Kediri, ia bertemu dengan Bhisma Rashad, seorang dokter muda lulusan Universitas Leipzig yang bekerja di sebuah rumah sakit.

Percintaan mereka yang intens terputus mendadak di tahun 1965, di tengah ketegangan dan kekerasan politik setelah Peristiwa G30S di Kediri dan Yogya.

Bhisma tiba - tiba hilang -  -  - ketika Amba hamil.

Beberapa tahun kemudian, setelah Amba menikah dengan seorang peneliti keturunan Jerman, datang kabar bahwa Bhisma meninggal. Ia meninggal di Pulau Buru.

Rupanya selama itu, sejak sebuah bentrokan di Yogya, Bhisma, dijebloskan dalam tahanan di Jawa, dan sejak akhir 1971 dibuang ke pulau itu, bersama 7000 orang yang dituduh 'komunis' oleh pemerintahan Suharto.

Amba, yang tak pernah berhenti mencintainya, datang ke pulau itu dengan ditemani seorang bekas tapol, seorang lelaki Ambon. Ia berhasil menemukan surat - surat Bhisma yang selama bertahun - tahun ditulisnya untuk dia—tetapi tak pernah dikirimkan, hanya disimpan di bawah sebatang pohon.

Dari surat - surat yang selama bertahun - tahun disembunyikan ini terungkap bukan saja kenangan kuat Bhisma tentang Amba, tetapi juga tentang pelbagai peristiwa—yang kejam dan yang mengharukan—dalam kehidupan para tahanan di kamp Pulau Buru.

Melalui penelitian bertahun - tahun, melalui puluhan interview dan kunjungan ke Pulau Buru, Laksmi menampilkan sejarah Indonesia yang bengis, tetapi justru dengan manusia - manusia yang mencintai. Dalam sepucuk suratnya kepada ayahnya Amba menulis:

Adalah Bapak yang menunjukkan bagaimana Centhini sirna pada malam pengantin... Adalah Bapak yang mengajariku untuk tidak mewarnai duniaku hanya Hitam dan Putih, juga untuk tidak serta - merta menilai dan menghakimi. Hitam adalah warna cahaya. Sirna adalah pertanda kelahiran kembali.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411052192i/15995172.jpg
Jejak Kupu - kupu,Agnes Jessica,Gramedia Pustaka Utama,2004,9789792210156 (ISBN10: 9792210156),Fiksi,"Alisa merasa terpukul ketika roda kehidupan memutar balikkan nasibnya. Dia terbiasa dengan kemewahan tiba - tiba harus menjadi penghuni panti asuhan ketika orang tuanya meninggal karena kecelakaan. Apalagi Danu, pengelola panti yang sebetulnya tampan itu, bersikap sangat dingin dan keras padanya. Pulang malam tidak boleh, pacaran dimarahi, apalagi bersenang - senang dengan gengnya di kafe. Betul - betul menyebalkan. Belum lagi setumpuk tugas di panti yang harus dilakukan sesuai pembagian

Namun, lambat laut Alissa berubah. Dari gadis manja dia menjadi gadis mandiri. Dari yang hanya memikirkan diri sendiri, dia mulai memperhatikan dan menolong kesulitan teman - temannya dipanti. Dari gadis kaya yang boros menjadi gadis yang hemat dan memanfaatkan uang sedikit yang dimilikinya dengan baik.

Tapi perubahan yang besar adalah perasaannya terhadap Danu. Dari benci dia malah mencintai pria itu mati - matian. Dia tidak peduli walaupun umur yang terbentang di antara mereka cukup jauh. Dan Alissa yakin sebetulnya dia tidak bertepuk sebelah tangan. Tapi, kenapa Danu selalu menyembunyikan perasaannya? Kenapa lelaki itu selalu menarik diri ketika percik - percik kemesraan mulai bermunculan di antara mereka? Dan, yang tidak bisa diterimanya, kenapa lelaki itu malah menikahi Catherine yang tidak dicintainya?

Untuk melupakan lelaki itu, Alissa memilih meneruskan kuliahnya di Singapura. Dan empat tahun kemudian, dia kembali dikejutkan oleh peristiwa yang sama sekali tak diduganya, peristiwa yang membuatnya membenci Danu...",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1227972517i/5956070.jpg
Aku Melawan Teroris,Imam Samudra,Jazera,2004,B0DLT98GP8,Biografi,"Tangismu wahai bayi - bayi tanpa kepala…dibentur ditembok - tembok Palestina … jeritmu wahai bayi - bayi Afghanistan … yang memanggil - manggilku tanpa lengan … dieksekusi bom - bom jahanam … milik setan Amerika dan Sekutu … saat ayah bundamu menjalani Ramadhan!
Ini aku, saudaramu … ini aku, datang dengan secuil bombing … kan kubalaskan sakit hatimu … kan kubalaskan darah - darahmu … darah dengan darah … nyawa dengan nyawa … qishash!!

Itulah sepenggal puisi Imam Samudra. bait - bait yang merefleksikan apa, mengapa, kepada siapa,dan bagaimana ia melawan. Dari balik jeruji besi, sembari menunggu proses eksekusi atas ganjaran pidana mati, ia menorehkan catatan - catatan harian. Sebagai sebentuk pertanggungjawaban kepada publik atas apa yang ia dan kawan - kawannya lakukan di Bali pada 12 Oktober 2002.

Apa yang ia dan kawan - kawannya lakukan di Bali, tak lain adalah bentuk reaksi perlawanan terhadap penindasan ; Amerika dan sekutunya. Bangsa yang oleh Amnesti Internasional dikarunia ""penghargaan"" sebagai pelanggar HAM terburuk selama 50 tahun terakhir. Bangsa yang oleh Human Right Report 2002 dan Human Right Watch dinobatkan sebagai pelanggar HAM terburuk dan terberat di dunia. Bangsa yang publik umum memahami sebagai biang teroris. Karenanya,buku ini berjudul, Aku Melawan Teroris.

""Saya melakukan jihad pada titik - titik ikhtilaf."" demikian tulisannya. Sebuah ungkapan atas sebuah pilihan jalan dari ragam jalan perjuangan yang ditempuh oleh umat Islam. Ia sadar bahwa langkahnya kontroversi. Meski demikian,ia meyakinkan jalan yang ditempuhnya. Dan keyakinan itu, didasarkan atas sebuah model pemahaman Islam yang ia anut. Apa itu? Ia menjelaskannya dalam buku ini.

Terlepas kita setuju atau tidak,buku Imam Samudra, Aku Melawan Teroris, tetap menarik untuk dibaca. Sebagai upaya mengenal lebih jauh apa dan siapa Imam Samudra,termasuk jalan perjuangannya. Terlebih gaya penulisan yang bertutur, reflektif, gaul, kadang jenaka,menjadikan kita mudah mengikuti 'gagasan ide' yang ia sampaikan.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1226227471i/3005730.jpg
Peluru di Matamu,Afifah Afra,Era Intermedia,2003,9789793414057 (ISBN10: 9793414057),Sastra,"Pesona klasik dan ketampanan lelaki itu senantiasa menawan para gadis. Namun Amerika, negeri yang sejak Perang Dunia II menjadi negara adikuasa, telah membuatnya terluka dan kalah.
Jack, lelaki itu pun menjelma menjadi elang dan melanglang ke negeri damai, Swiss, untuk menikmati keindahan kuntum - kuntum bunganya. Namun yang terjadi kemudian, sekuntum mawar berduri mematahkan sayapnya. Dialah Ivana Martin, seniornya di Universite de Geneva yang berhasil membuat sang petualang cinta bertekuk lutut. Ivana Martin bahkan berhasil menyulap bola mata kecoklatan nan bening itu, menjadi butir peluru mematikan.
Johana Alexandra Rijkaard dan Mahmud Ali Syah pun terkoyak lantak oleh terjangan peluru dari bening matanya.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615087585i/2212501.jpg
"Ibuk,",Iwan Setyawan,Gramedia Pustaka Utama,2012,9789792285680 (ISBN10: 9792285687),Novel,"""Seperti sepatumu ini, Nduk. Kadang kita mesti berpijak dengan sesuatu yang tak sempurna. Tapi kamu mesti kuat. Buatlah pijakanmu kuat.”
 - Ibuk - 

Masih belia usia Tinah saat itu. Suatu pagi di pasar Batu telah mengubah hidupnya. Sim, seorang kenek angkot, seorang playboy pasar yang berambut selalu klimis dan bersandal jepit, hadir dalam hidup Tinah lewat sebuah tatapan mata. Keduanya menikah, mereka pun menjadi Ibuk dan Bapak.

Lima anak terlahir sebagai buah cinta. Hidup yang semakin meriah juga semakin penuh perjuangan. Angkot yang sering rusak, rumah mungil yang bocor di kala hujan, biaya pendidikan anak - anak yang besar, dan pernak - pernik permasalahan kehidupan dihadapi Ibuk dengan tabah. Air matanya membuat garis - garis hidup semakin indah.

ibuk, novel karya penulis national best seller Iwan Setyawan, berkisah tentang sebuah pesta kehidupan yang dipimpin oleh seorang perempuan sederhana yang perkasa. Tentang sosok perempuan bening dan hijau seperti pepohonan yang menutupi kegersangan, yang memberi nafas bagi kehidupan.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1338170622i/14624906.jpg
Bulan,Tere Liye,Gramedia Pustaka Utama,2015,9786020314112 (ISBN10: 6020314111),Fantasi,"Namanya Seli, usianya 15 tahun, kelas sepuluh. Dia sama seperti remaja yang lain. Menyukai hal yang sama, mendengarkan lagu - lagu yang sama, pergi ke gerai fast food, menonton serial drama, film, dan hal - hal yang disukai remaja.

Tetapi ada sebuah rahasia kecil Seli yang tidak pernah diketahui siapa pun. Sesuatu yang dia simpan sendiri sejak kecil. Sesuatu yang menakjubkan dengan tangannya.

Namanya Seli. Dan tangannya bisa mengeluarkan petir.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1424060873i/24946146.jpg
Da Conspiracao,Afifah Afra,Indiva Media Kreasi,2012,9786028277662 (ISBN10: 6028277665),Fiksi Sejarah,"Raden Mas Rangga Puruhita, pemuda terpelajar, sarjana ekonomi lulusan Leiden, ningrat Jawa, dan visioner. Ia dibuang ke Flores karena terlibat dalam gerakan melawan kekuasaan pemerintah Hindia Belanda.

Tan Sun Nio, gadis yang jelita, cerdas, ambisius, dan terlahir dari keluarga keturunan Tionghoa yang konservatif. Ia membuang diri ke Flores karena dikhianati calon suaminya. Namun, ia justru berhasil membangun sebuah kerajaan niaga terbesar di Indonesia Timur, dan menjadi orang terkaya di Flores.

Adapun Flores yang mereka datangi, sama - sama medan yang penuh bara. Awal abad XX, pulau itu baru beralih kekuasaan dari Portugis ke Belanda. Kondisi belum stabil. Bajak laut dan perampok merajalela. Pemberontakan para raja kecil atau mosalaki membuat bumi kian porak poranda.

Suratan nasiblah yang kemudian membuat mereka bertemu. Awalnya saling berhadapan sebagai lawan. Namun, mereka justru didekatkan ketika sama - sama terjebak dalam sebuah konspirasi tingkat tinggi. Konspirasi yang melibatkan sekelompok bajak laut yang dikoordinasi secara rapi menyerupai Mafioso di Sisilia: Bevy da Aguia Leste.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348069565i/16035458.jpg
Salju di Paris,Sitor Situmorang,Gramedia Widiasarana Indonesia,1994,9789795534822 (ISBN10: 9795534823),Fiksi,"Biasanya, orang hanya mengenal Sitor Situmorang sebagai penyair. Dalam kenyataan, Sitor juga menulis sejumlah cerpen. Salah satu kumpulan cerpennya, yaitu Pertempuran dan Salju di Paris (1956), malahan terpilih sebagai pemenang Hadiah Sastra Nasional Badan Musyawarah Kebudayaan Nasional (BMKN) tahun 1955/1956.

Kumpulan cerpen Salju di Paris ini berisi 12 cerpen Sitor dan dipilih dari tiga kumpulan cerpen Sitor terdahulu. Lima cerpen berasal dari kumpulan Pertempuran dan Salju di Paris, lima cerpen berasal dari kumpulan Pangeran (1963), dan dua cerpen berasal dari kumpulan Danau Toba (1981).

Meskipun ditulis sekian puluhan tahun yang lampau, cerpen - cerpen Sitor dalam Salju di Paris ini masih tetap aktual sampai sekarang. Bahasanya yang puitis menyebabkan cerpen - cerpen Sitor ini juga enak dibaca.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1216738368i/1284318.jpg
"Jangan Pergi, Lara",Mira W.,Gramedia Pustaka Utama,1998,9789796059409 (ISBN10: 9796059401),Fiksi,"Karena iba pada saudara kembar Lara yang mengidap penyakit jantung, Dokter Adrian memilih Lina, dan memutuskan hubungannya dengan Lara. Lara kemudian berpaling pada Dedi, bekas pasiennya yang selalu mengejar - ngejar dirinya.

Dokter Adrian baru menyesali keputusannya ketika sesudah dia menikah dengan Lina, Lara didiagnosis mengidap kanker tulang....

Akan kembalikah Dokter Adrian pada cinta pertamanya? Tegakah Lara mengkhianati saudara kembarnya, meskipun dia sendiri tengah berada di bawah bayang - bayang maut?

Jangan Pergi Lara, Novel Mira W yang telah diangkat ke layar kaca dengan judul Cinta Dara Kembar.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1496473216i/5637839.jpg
And The Star Is Me,Afifah Afra,Indiva Media Kreasi,2007,9789791397124 (ISBN10: 9791397120),Sastra,"Mengapa ada orang yang sukses dan ada yang gagal? Mengapa ada yang bisa menggapai puncak prestasi, dan ada yang bertahan dalam taraf 'biasa - biasa' saja. Mengapa ada yang mampu melangkah dengan percaya diri, namun ada pula yang tunduk dalam kerendahdirian?

APA YANG SALAH?!

Jangan salahkan Bunda yang mengandung. Jangan salahkan nasib yang tidak berpihak kepada kita. Jangan salahkan shio, zodiak, ataupun weton. Dan jangan juga pernah menyalahkan Sang Pencipta.

SEMUA ITU SALAH ANDA!

Tak ada pribadi biasa - biasa saja dalam jagad raya ini. Yang ada adalah pribadi yang GAGAL menjadikan dirinya luar biasa.

KARENA SEJATINYA...
Ada bintang dalam diri Anda. Yang tersembunyi. Ia harus dicari. Diasah cerlangnya, dilejitkan cahayanya. Sehingga puncak kesuksesan, bukan lagi sekadar impian. Semua orang layak dan berhak menjadi bintang. Allah telah Mensetting Anda sebagai pribadi yang luar biasa dengan berbagai keunikan yang Anda miliki. Bagaimana menjadikan keunikan itu sebagai NILAI LEBIH ANDA, inilah tugas Anda!

Namun, yang PERTAMA KALI, Anda harus menyadari, ada seekor macan yang sedang tertidur di dalam diri Anda. Ia harus dibangunkan, sehingga ia sanggup mengaum, dengan auman yang menggetarkan seluruh belantara. Sehingga ia sanggup berlari, mengejar mangsa, merontokkan nyali... dan oleh karenanya, ia menjadi raja.
Buku ini akan memprovokasi Anda untuk bersemangat menggali kuburan bintang itu, membersihkannya, mengasahnya, dan memancarkannya.
Karena setiap pribadi itu sebenarnya luar biasa.
Karena sukses itu memang hak Anda!",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1277470581i/8503171.jpg
Manusia Langit,Jajang Agus Sonjaya,Buku Kompas,2010,9789797095239 (ISBN10: 9797095231),Sastra,"MAHENDRA, seorang arkeolog muda, berusaha melepaskan diri dari kungkungan peradaban kampus. Ia kabur ke Banuaha, sebuah kampung di pedalaman Pulau Nias, yang diyakini penduduk aslinya sebagai tempat turunnya manusia dari langit. Di sana ia banyak belajar soal persamaan dan perbedaan antara dua dunia: dunia kampus di Yogyakarta dan dunia orang Nias di Banuaha. Persamaan dan perbedaan yang menyangkut prinsip hidup  -  mati, harga diri, pesta, juga soal ... perempuan

Bagaimana kegundahan hati Mahendra saat jatuh cinta pada Saita, gadis Nias yang ternyata sudah dibeli pemuda kampung tetangga? Bagaimana kelanjutan nasib Yasmin, gadis asal Lombok, mahasiswinya di Yogyakarta? Bagaimana pula Mahendra akhirnya sampai pada kesadaran diri sebagai manusia langit?

Novel yang membawa kita menyelami kultur Nias yang eksotik sekaligus hanyut dalam dunia kampus yang penuh romantika. Sebuah kisah cinta yang mengharukan dengan latar beragam budaya yang berbeda",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1295151022i/10233093.jpg
Keajaiban di Pasar Senen,Misbach Yusa Biran,KPG (Kepustakaan Populer Gramedia),1971,9789799101297 (ISBN10: 9799101298),Sastra,"Sebanyak 17 cerita dalam buku ini - lima diantaranya belum pernah disertakan dalam terbitan pertama,1971 - akan membawa kita ke dalam situasi Indonesia tahun 1950 - an yang romantik. Itulah masa ketika Pasar Senen menjadi tempat berkumpulnya para seniman muda, sejalan dengan mulainya kegiatan pembuatan film nasional dan ramainya pementasan sandiwara.

Dengan lincah Misbach Yusa Biran menceritakan kehidupan Seniman Senen yang melegenda itu, kehidupan yang penuh ""keajaiban"". bayangkan, betapa tidak ajaib bila lukisan yang dipasang terbalik demi mengolok - olok pelukisnya ternyata malah dianggap karya besar dan dibayar mahal?

Meski ditulis sekitar 50 tahun silam, keajaiban - keajaiban kehidupan Seniman Senen yang dipaparkan oleh Misbach tetap bisa dinikmati oleh generasi sekarang.

DDC: 813",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1225768424i/5465395.jpg
Negeri Di Ujung Tanduk,Tere Liye,Gramedia Pustaka Utama,2013,9789792294293 (ISBN10: 9792294295),Fiksi,"Di Negeri di Ujung Tanduk kehidupan semakin rusak, bukan karena orang jahat semakin banyak, tapi semakin banyak orang yang memilih tidak peduli lagi.

Di Negeri di Ujung Tanduk, para penipu menjadi pemimpin, para pengkhianat menjadi pujaan, bukan karena tidak ada lagi yang memiliki teladan, tapi mereka memutuskan menutup mata dan memilih hidup bahagia sendirian.

Tapi di Negeri di Ujung Tanduk setidaknya, kawan, seorang petarung sejati akan memilih jalan suci, meski habis seluruh darah di badan, menguap segenap air mata, dia akan berdiri paling akhir, demi membela kehormatan.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362818782i/17566144.jpg
Tanah Air Bahasa: Seratus Jejak Pers Indonesia,Taufik Rahzen,Indonesia Buku dan The Blora Institute,2007,B0DM7Y6KYG,Sastra,"Jejak pers Indonesia adalah jalan dan usaha merumahkan bahasa terus - menerus dan sekaligus mengikat kesatuan tanah dan air untuk memelihara kesadaran berbangsa. Jalan ini sudah dan akan melahirkan ribuan koran dan sederet tokoh - tokohnya. Keseluruhan bilangan ekspresi itu mencoba menyumbang dengan cara dan pandangannya sendiri untuk kokohnya sebuah rumah bahasa. Dalam serangkaian penelitian terhadap seratus tokoh pers Indonesia kita bisa melihat sekaligus merefleksikan gambaran bagaimana aksentuasi itu terjadi.
Seratus tokoh yang terhimpun dalam buku ini menunjuk pada semangat jalan pers kita dan upaya para sais yang bekerja sepenuh jiwa di dalamnya dalam mengartikulasikan dan memberi sumbangan kepada bahasa Indonesia dan tanah air dalam upaya membangun citra untuk apa dan dalam posisi apa nasionalisme dibangun dari kurun ke kurun.
Ini adalah rekam jejak upaya - upaya manusia Indonesia, dalam hal ini mereka yang berada di jalur pers dan jurnalisme. Mereka ingin memberi citra, menaklukan, sekaligus memberi penghuni pada bahasa Indonesia. Pada akhirnya seluruh pergumulan itu diterima, diberi tempat sekaligus mengidentifikasi diri dalam ruang kebahasaan kita.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1213859442i/3481207.jpg
Eiffel I'm in Love,Rachmania Arunita,Terrant Books,2003,(ISBN10: 9799780608),Fiksi,"Untuk kehidupan seorang remaja, kehidupan Tita bisa dibilang sempurna. Ia berasal dari keluarga harmonis. Sementara itu cowoknya, Ergi, adalah tipe cowok yang sangat sabar dan perhatian ditambah lagi teman - temannya sangat baik. Namun satu yang ia sayangkan yakni sikap ibunya yang over protektif. Namun kemudian semua itu berubah secara drastis sejak kamar tamu yang berada di sebelah kamar Tita ditempati Adit, anak dari seorang teman bapaknya.

Sifat Adit yang angkuh, judes dan cuek membuat Tita sangat kesal. Apalagi wajahnya yang ganteng menarik simpati semua orang. Hal yang paling mengejutkan, mau tak mau Tita harus menerima kenyataan bahwa orang tuanya menjodohkan mereka berdua. Jelas saja Tita protes. Begitu pula dengan Adit.

Semua itu bagaikan mimpi buruk bagi Tita. Mimpi itu bertambah buruk ketika Tita menyadari perasaannya pada Adit yang akhirnya berubah 180 derajat disaat Adi sedang berpacaran dengan sahabat Tita. Tita merasa bingung. Akankah ia mengakui perasaannya itu atau ia menolak untuk mengakui apa yang sebenarnya dia rasakan ?",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1489052634i/8030208.jpg
